Order ID,Product,Quantity Ordered,Price,Order Date,Time,Purchase Address,City,Product Type
222845,AA Batteries (4-pack),2062149,3.84,29-06-2019,8:58 AM,"589 1st St, Atlanta, GA 30301",New York City,234450
164739,27in 4K Gamkng Motitkr,247,389.99,25-03-2019,7:15 PM,"416 Church St, San Francisco, CA 94016",null,Monitor
239280,USB-C Charging Cable,1,11.95,08-08-2019,7:10 PM,"677 Meadow St, Atlanta, GA 30301",NULL,Cable
228177,20in Monitor,-4604754,109.99,2019-13-07,10:01 AM,"33 6th St, Los Angeles, CA 90001",Seattle,11.95
157433,Apple Airpods Headphones,-58,150.0,10-02-2019,6:27 PM,"219 Forest St, San Francisco, CA 94016",San Francisco,11.99
159342,Lightning Charging Cable,1,14.95,2019-16-02,2:29 PM,"88 Highland St, Los Angeles, CA 90001",null,150.0
303720,iPhone,1,700.0,12-29-2019,11:40 PM,"974 South St, Dallas, TX 75001",7591654,iPhone
305300,AAA Batteries (4-pack),-7172954,2.99,08-12-2019,11:50$AM,"420 5th St, San Francisco, CA 94016",N/A,
159652,34in Ultrawide Monitor,1,379.99,20-02-2019,12:30 PM,"561 5th St, Portland, OR 97035",N/A,NULL
248981,ACA Batcerixs (4-lacn),1,2.99,2019-07-09,9:34 AM,"110 Chestnut St, Atlanta, GA 30301",Seattle,2019-10-02
230221,Bose SoundSport Headphones,1,99.99,02-07-2019,3:55 PM,"174 Meadow St, Portland, ME 04101","""""",
147501,Wired Headphones,216,11.99,02-01-2019,7:32 PM,"5 Pine St, Seattle, WA 98101",Cable,"327 North St, Seattle, WA 98101"
263034,USB-C Charging Cable,1,11.95,2019-05-10,12:48 PM,"799 Hill St, San Francisco, CA 94016",Atlanta,Cable
206660,AAA Batteries (4-pack),297,2.99,05-30-2019,7:34 PM,"740 Jefferson St, Dallas, TX 75001",San Francisco,null
307596,Wired Headphones,1,11.99,21-12-2019,3:11 PM,"293 Meadow St, Dallas, TX 75001",Dallax,Headphones
162341,Lightning Charging Cable,1,14.95,26-03-2019,7:33 PM,"164 Spruce St, Boston, MA 02215",Portland,unknown
211806,AA Batteries (4-pack),-66,3.84,2019-17-06,9:53 PM,"668 Walnut St, San Francisco, CA 94016",New York City,Batteries
256813,27in 4K Gaming Monitor,283,389.99,2019-09-09,10:47 AM,"397 Chestnut St, Austin, TX 73301",null,Monitor
173859,Bose SoundSport Headphones,1,99.99,02-03-2019,3:11 PM,"47 Washington St, Portland, OR 97035",null,306303
153606,iPyone,1,700.0,2019-12-02,4:42 PM,"861 11th St, San Francisco, CA 94016",2019-20-12,iPhone
284837,Wired Headphones,1,11.99,13/11-2019,7:57 AM,"601 Forest St, Boston, MA 02215",?,Headphones
180189,Bose SoundSport Headphones,271,99.99,14-04-2019,11:50 PM,"802 2nd St, Los Angeles, CA 90001",Los Angeles,Headphones
