Order ID,Product,Quantity Ordered,Price,Order Date,Time,Purchase Address,City,Product Type
222845,AA Batteries (4-pack),-7496240,3.84,06-29-2019,8:58 AK,"589 1st St, Atlanta, GA 30301","""""",
164739,27in 4K Gaming Monitor,-96,389.99,03-25-2019,7:15 PM,"416 Church St, San Francisco, CA 94016",NULL,300.0
239280,USB-C Charging Cable,1,11.95,08-08.2019,7:10 PM,"677 Meadow St, Atlanta, GA 30301",N/A,Cagle
228177,20in Monitor,205,109.99,13-07-2019,10:01 AM,"33 6th St, Los Angeles, CA 90001",unknown,1:04 PM
157433,Apple Airpods Headphones,1,150.0,2019-10-02,6:27 PM,"219 Forest St, San Francisco, CA 94016",Seattle,""""""
159342,Lightning Charging Cable,282,14.95,2019-16-02,2:29 PM,"88 Highland St, Los Angeles, CA 90001","""""",11:01 AM
303720,iPhone,1,700.0,29-12-2019,11:40 PM,"974 South St, Dallas, TX 75001",191951,1
305300,AAA Batteries (4-pack),1,2.99,2019-08-12,11:50 AM,"420 5th St, San Francisco, CA 94016",unknown,6:09 PM
159652,34in Ultrawide Monitor,262,379.99,2019-20-02,12:30 PM,"561 5th St, Portland, IR 97035",unknown,275960
248981,AAA Batteries (4-pack),8795054,2.99,2019-07-09,9:34 AM,"110 Chestnut St, Atlanta, GA 30301",San Francisco,10:56 AM
230221,Bose SoundSport Headphones,-88,99.99,2019-02-07,3:55/PJ,"174 Meadow St, Portland, ME 04101",Boston,"670 11th St, Seattle, WA 98101"
147501,Wired Headphones,4453072,11.99,2019-02-01,7:32-PM,"5 Pine St, Seattle, WA 98101",Austin,""""""
263034,USB-C Fharginy_Cable,291,11.95,2019-05-10,12:48.PM,"799 Hill St, San Francisco, CA 94016",?,Cahle
206660,AAA Batteries (4-pack),1,2.99,30-05-2019,7:34 PM,"740 Kefferson!St,^Dallas, TX 75001",Portland,"7 Cedar St, Dallas, TX 75001"
307596,Wired Headphones,-6,11.99,21-12:2019,3:11 PM,"293 Meadow St, Dallas, TX 75001",City,""""""
162341,Lightning Charging Cable,5022994,14.95,03-26-2019,7:33 PM,"164 Spruce St, Boston, MA 02215",N/A,?
211806,AA Batteries (4-pack),-20,3.84,2019-17-06,9:53 PM,"668 Walnut St, San Francisco, CA 94016","""""",11.95
256813,27in 4K/Gaming Monijor,1,389.99,2019-09-09,10:47 AM,"397 Chestnut St, Austin, TX 73301","""""",22-12-2019
173859,Bose SoundSport Headphones,1,99.99,2019-02-03,3:11 PM,"47 Washington St, Portland, OR 97035",Dallas,"189 Lincoln St, San Francisco, CA 94016"
153606,iPhoue,1,700.0,2019-12-02,4:42 PM,"861 11th St, San Francisco, CA 94016",NULL,iPhone
284837,Wired Headphones,-24,11.99,13-11-2019,7:57^AN,"601 Forest St, Boston, MA 02215",null,NULL
180189,Bose SoundSport Headphones,287,99.99,2019-14-04,11:50_PM,"802 2nd St, Los Angeles, CA 90001",,6:30 PM
306557,Flatscreen TV,1,300.0,2019-01-12,5:36 PM,"427 Hickory St, Sxattlt, WA 98101",Austin,"442 14th St, Austin, TX 73301"
150701,ThinkPad Laptop,-7974168,999.99,2019-07-02,8?21 PM,"822 Highldnd St, Dalpas, TB 75001",N/A,-31
309046,Lightning Charging Cable,1,14.95,12-28-2019,10:32 AM,"880 Hill St, San Francisco, CA 94016","""""",Cxble
313322,Wired Headphones,-80,11.99,2019-08-12,1:41 Pj,"728 Lake St, New Yotk Eify, NY 10001",City,Headphmnes
227890,Vareebadd Phone,1,400.0,08-07-2019,1:33 AM,"766 2nd St, Seattle, WA 98101",City,1
318532,Apple Airpods Headphones,-5793970,150.0,27-12-2019,6:48 LJ,"873 Highland St, Los Angeles, CA 90001",Austin,unknown
164853,AA Batteries (4-pack),3,3.84,2019-07-03,2:48 PM,"35 Elm St, New York City, NY 10001",Dallas,
146081,iPhone,-12,700.0,03/01-2019,8:46 PM,"475 Hickory St, Los Angeles, CA 90001",unknown,""""""
