airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
Air_India,AI-506,Delhi,Morning,one,Early_Morning,Kolkata,Economy,19.75,40,7366
Vistara,UK-706,Kolkata,Morning,one,Night,Mumbai,Business,9.83,42,64831
Vistara,UK-772,Kolkata,Morning,one,Night,Bangalore,Economy,10.5,41,6195
Vistara,UK-824,Chennai,Night,one,Morning,Delhi,Business,14.5,14,60160
Air_India,AI-501,Bangalore,Afternoon,one,Night,Mumbai,Economy,8.25,20,6578
AirAsia,I5-510,Kolkata,Early_Morning,one,Afternoon,Bangalore,Economy,10.83,5,4555
Vistara,UK-826,Chennai,Afternoon,zero,Afternoon,Mumbai,Business,2.0,7,23838
Indigo,6E-271,Kolkata,Early_Morning,one,Afternoon,Bangalore,Economy,7.75,46,3860
Air_India,AI-619,Mumbai,Night,one,Night,Chennai,Business,26.33,44,32230
Vistara,UK-953,Delhi,Night,one,Evening,Kolkata,Business,20.17,2,76841
Vistara,UK-876,Hyderabad,Night,one,Evening,Bangalore,Business,21.67,42,38099
Air_India,AI-808,Bangalore,Night,one,Afternoon,Kolkata,Business,17.5,23,60508
AirAsia,I5-517,Chennai,Morning,two_or_more,Night,Delhi,Economy,13.5,25,2477
SpiceJet,SG-488,Mumbai,Morning,one,Evening,Chennai,Economy,6.83,19,7220
Vistara,UK-819,Delhi,Afternoon,zero,Evening,Bangalore,Business,2.75,26,32859
Air_India,AI-607,Mumbai,Evening,zero,Evening,Bangalore,Business,1.75,47,20684
Vistara,UK-818,Bangalore,Evening,one,Morning,Mumbai,Economy,14.08,26,7212
AirAsia,I5-741,Bangalore,Morning,one,Night,Mumbai,Economy,10.92,17,7762
Air_India,AI-888,Mumbai,Evening,zero,Night,Delhi,Business,2.25,33,22140
Vistara,UK-811,Delhi,Early_Morning,two_or_more,Evening,Kolkata,Economy,14.0,44,10418
Vistara,UK-897,Bangalore,Early_Morning,one,Night,Mumbai,Economy,15.08,39,4792
Air_India,AI-635,Mumbai,Early_Morning,one,Night,Chennai,Business,16.5,20,49613
Air_India,AI-424,Kolkata,Afternoon,one,Evening,Chennai,Economy,29.5,34,4969
Vistara,UK-706,Kolkata,Morning,one,Evening,Bangalore,Business,8.58,49,60978
Air_India,AI-887,Delhi,Early_Morning,zero,Morning,Mumbai,Business,2.08,15,30092
GO_FIRST,G8-346,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,39,2410
Vistara,UK-870,Hyderabad,Night,one,Night,Kolkata,Business,26.17,26,51819
Vistara,UK-706,Kolkata,Morning,two_or_more,Evening,Bangalore,Economy,9.0,48,7763
SpiceJet,SG-1063,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,4,5953
Indigo,6E-6326,Bangalore,Morning,one,Night,Hyderabad,Economy,9.58,9,7021
Vistara,UK-927,Delhi,Morning,one,Evening,Kolkata,Business,10.42,16,59929
Air_India,AI-803,Delhi,Early_Morning,one,Early_Morning,Kolkata,Business,23.08,14,57405
Indigo,6E-772,Delhi,Early_Morning,zero,Morning,Bangalore,Economy,2.92,7,7425
Air_India,AI-839,Delhi,Night,zero,Night,Hyderabad,Economy,2.17,12,5955
GO_FIRST,G8-515,Hyderabad,Morning,one,Night,Delhi,Economy,13.0,20,6132
Air_India,AI-671,Mumbai,Morning,one,Morning,Hyderabad,Economy,24.92,48,3098
Vistara,UK-706,Kolkata,Morning,one,Night,Mumbai,Business,11.75,24,70431
AirAsia,I5-1543,Hyderabad,Afternoon,one,Night,Kolkata,Economy,6.75,13,5291
Vistara,UK-860,Hyderabad,Early_Morning,one,Morning,Kolkata,Business,26.75,31,51819
Vistara,UK-877,Mumbai,Morning,zero,Afternoon,Hyderabad,Economy,1.5,35,3450
Vistara,UK-977,Delhi,Evening,one,Early_Morning,Bangalore,Economy,12.83,22,4896
Indigo,6E-7223,Bangalore,Afternoon,one,Evening,Delhi,Economy,5.17,18,4001
Vistara,UK-951,Delhi,Afternoon,one,Early_Morning,Hyderabad,Economy,17.5,5,9840
SpiceJet,SG-8710,Mumbai,Night,one,Morning,Kolkata,Economy,11.33,31,5818
Air_India,AI-607,Mumbai,Evening,one,Morning,Delhi,Business,16.17,24,53152
Air_India,AI-808,Bangalore,Night,one,Afternoon,Mumbai,Economy,15.83,10,9277
AirAsia,I5-974,Hyderabad,Night,one,Morning,Kolkata,Economy,10.83,21,2056
Vistara,UK-826,Chennai,Afternoon,one,Evening,Delhi,Economy,5.58,34,5206
Vistara,UK-845,Mumbai,Early_Morning,one,Night,Hyderabad,Economy,14.92,12,8988
AirAsia,I5-830,Kolkata,Night,one,Afternoon,Bangalore,Economy,12.75,18,3862
Air_India,AI-640,Bangalore,Early_Morning,one,Night,Delhi,Business,13.67,21,42521
Air_India,AI-441,Delhi,Evening,one,Evening,Bangalore,Economy,24.67,40,4230
GO_FIRST,G8-123,Hyderabad,Early_Morning,zero,Early_Morning,Kolkata,Economy,1.83,15,5292
Air_India,AI-538,Chennai,Night,one,Evening,Mumbai,Economy,23.67,10,23208
Air_India,AI-770,Kolkata,Night,one,Evening,Chennai,Economy,22.5,39,4969
Vistara,UK-738,Kolkata,Evening,one,Morning,Mumbai,Economy,16.42,3,12210
Indigo,6E-6205,Delhi,Afternoon,one,Evening,Bangalore,Economy,5.83,11,9735
Indigo,6E-531,Hyderabad,Early_Morning,one,Afternoon,Bangalore,Economy,9.08,15,4836
AirAsia,I5-557,Chennai,Night,zero,Late_Night,Kolkata,Economy,2.42,11,5043
Air_India,AI-840,Hyderabad,Night,one,Morning,Mumbai,Business,12.25,42,45883
AirAsia,I5-2461,Bangalore,Evening,one,Late_Night,Kolkata,Economy,10.0,24,3393
Vistara,UK-828,Chennai,Early_Morning,one,Evening,Delhi,Economy,12.75,7,11553
Indigo,6E-711,Mumbai,Afternoon,one,Night,Hyderabad,Economy,8.5,6,11613
GO_FIRST,G8-7535,Delhi,Evening,one,Early_Morning,Chennai,Economy,14.67,19,4896
Indigo,6E-7403,Delhi,Early_Morning,one,Afternoon,Kolkata,Economy,5.75,7,9861
Vistara,UK-930,Mumbai,Early_Morning,one,Evening,Chennai,Business,8.83,43,64173
Vistara,UK-870,Hyderabad,Night,one,Evening,Mumbai,Business,22.67,46,53835
Air_India,AI-676,Kolkata,Morning,one,Morning,Hyderabad,Economy,26.25,2,15165
Vistara,UK-738,Kolkata,Evening,one,Morning,Hyderabad,Business,14.92,32,52175
Indigo,6E-5202,Mumbai,Early_Morning,one,Morning,Hyderabad,Economy,3.42,39,5728
Air_India,AI-9921,Hyderabad,Evening,one,Morning,Bangalore,Economy,17.0,6,9536
Vistara,UK-944,Mumbai,Afternoon,one,Night,Chennai,Economy,8.08,45,4249
Vistara,UK-815,Delhi,Morning,one,Night,Mumbai,Business,12.67,46,53164
Vistara,UK-986,Mumbai,Night,one,Morning,Chennai,Business,11.17,8,64509
SpiceJet,SG-401,Bangalore,Early_Morning,zero,Early_Morning,Mumbai,Economy,1.33,10,5177
Air_India,AI-660,Mumbai,Evening,one,Afternoon,Bangalore,Economy,18.5,44,6502
Vistara,UK-927,Delhi,Morning,one,Evening,Bangalore,Economy,8.25,48,4496
Vistara,UK-826,Chennai,Afternoon,one,Evening,Kolkata,Economy,31.08,18,16917
Indigo,6E-236,Mumbai,Evening,one,Night,Chennai,Economy,6.58,32,1890
GO_FIRST,G8-237,Delhi,Afternoon,one,Night,Mumbai,Economy,9.25,11,5954
Vistara,UK-823,Mumbai,Evening,zero,Evening,Chennai,Economy,2.08,46,2900
Air_India,AI-762,Delhi,Night,zero,Night,Kolkata,Economy,2.08,11,5955
Air_India,AI-9894,Chennai,Morning,one,Night,Mumbai,Economy,12.75,28,5740
Air_India,AI-541,Hyderabad,Evening,zero,Evening,Delhi,Economy,2.25,13,6133
Vistara,UK-706,Kolkata,Morning,one,Night,Bangalore,Business,12.42,18,60978
Vistara,UK-870,Hyderabad,Night,one,Evening,Bangalore,Business,22.25,35,56702
Vistara,UK-826,Chennai,Afternoon,one,Morning,Bangalore,Business,20.33,40,44144
Vistara,UK-818,Bangalore,Evening,one,Night,Mumbai,Business,26.33,1,79548
Indigo,6E-2618,Delhi,Afternoon,one,Night,Hyderabad,Economy,7.58,33,2098
Vistara,UK-993,Delhi,Afternoon,zero,Afternoon,Mumbai,Business,2.17,20,34472
